Trial_ID,Experiment_Type,Target_Command,Voice_Input,SSVEP_Command,CCA_Max_Score,CCA_Accepted,Final_Executed_Command,Latency_sec
BOTH_TAKEOFF_1,BOTH,TAKEOFF,TAKEOFF,TAKEOFF,0.6517,True,TAKEOFF,2.38
BOTH_TAKEOFF_2,BOTH,TAKEOFF,TAKEOFF,TAKEOFF,0.7651,True,TAKEOFF,2.476
BOTH_TAKEOFF_3,BOTH,TAKEOFF,TAKEOFF,TAKEOFF,0.6981,True,TAKEOFF,1.936
BOTH_TAKEOFF_4,BOTH,TAKEOFF,TAKEOFF,TAKEOFF,0.8107,True,TAKEOFF,2.456
BOTH_TAKEOFF_5,BOTH,TAKEOFF,TAKEOFF,TAKEOFF,0.7806,True,TAKEOFF,2.412
BOTH_TAKEOFF_6,BOTH,TAKEOFF,TAKEOFF,TAKEOFF,0.6707,True,TAKEOFF,1.981
BOTH_TAKEOFF_7,BOTH,TAKEOFF,TAKEOFF,NA,0.6379,False,NA,NA
BOTH_TAKEOFF_8,BOTH,TAKEOFF,NA,STOP,0.6642,True,STOP,1.758
BOTH_TAKEOFF_9,BOTH,TAKEOFF,TAKEOFF,TAKEOFF,0.766,True,NA,NA
BOTH_TAKEOFF_10,BOTH,TAKEOFF,TAKEOFF,TAKEOFF,0.8265,True,TAKEOFF,2.231
BOTH_LAND_1,BOTH,LAND,LAND,LAND,0.8443,True,LAND,2.567
BOTH_LAND_2,BOTH,LAND,LAND,LAND,0.7181,True,LAND,1.657
BOTH_LAND_3,BOTH,LAND,LAND,LAND,0.7419,True,LAND,2.557
BOTH_LAND_4,BOTH,LAND,LAND,NA,0.6323,False,NA,NA
BOTH_LAND_5,BOTH,LAND,LAND,LAND,0.7275,True,LAND,2.275
BOTH_LAND_6,BOTH,LAND,LAND,LAND,0.7069,True,LAND,1.918
BOTH_LAND_7,BOTH,LAND,LAND,LAND,0.7858,True,LAND,2.187
BOTH_LAND_8,BOTH,LAND,LAND,LAND,0.7405,True,LAND,1.789
BOTH_LAND_9,BOTH,LAND,LAND,LAND,0.7969,True,LAND,2.403
BOTH_LAND_10,BOTH,LAND,LAND,LAND,0.7079,True,LAND,1.977
BOTH_FORWARD_1,BOTH,FORWARD,FORWARD,FORWARD,0.8055,True,FORWARD,2.185
BOTH_FORWARD_2,BOTH,FORWARD,FORWARD,FORWARD,0.6797,True,FORWARD,2.192
BOTH_FORWARD_3,BOTH,FORWARD,FORWARD,FORWARD,0.7458,True,FORWARD,1.961
